Package,Class,Field,Type,Description Rating,Has Example?
excel,Excel.BlockedErrorCellValueSubType,"wrongAccountType",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"xlmDisabledInTrustCenter",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"xlmNotSupportedOnPlatform",EnumField,Excellent,false
excel,Excel.BooleanCellValue,N/A,Interface,Fine,false
excel,Excel.BooleanCellValue,"basicType",Property,Excellent,false
excel,Excel.BooleanCellValue,"basicValue",Property,Excellent,false
excel,Excel.BooleanCellValue,"layouts",Property,Great,false
excel,Excel.BooleanCellValue,"properties",Property,Great,false
excel,Excel.BooleanCellValue,"provider",Property,Excellent,false
excel,Excel.BooleanCellValue,"referencedValues",Property,Excellent,false
excel,Excel.BooleanCellValue,"type",Property,Good,false
excel,Excel.BorderIndex,N/A,Enum,Missing,false
excel,Excel.BorderIndex,"diagonalDown",EnumField,Great,false
excel,Excel.BorderIndex,"diagonalUp",EnumField,Great,false
excel,Excel.BorderIndex,"edgeBottom",EnumField,Great,false
excel,Excel.BorderIndex,"edgeLeft",EnumField,Great,false
excel,Excel.BorderIndex,"edgeRight",EnumField,Great,false
excel,Excel.BorderIndex,"edgeTop",EnumField,Great,false
excel,Excel.BorderIndex,"insideHorizontal",EnumField,Great,false
excel,Excel.BorderIndex,"insideVertical",EnumField,Great,false
excel,Excel.BorderLineStyle,N/A,Enum,Missing,false
excel,Excel.BorderLineStyle,"continuous",EnumField,Great,false
excel,Excel.BorderLineStyle,"dash",EnumField,Great,false
excel,Excel.BorderLineStyle,"dashDot",EnumField,Great,false
excel,Excel.BorderLineStyle,"dashDotDot",EnumField,Great,false
excel,Excel.BorderLineStyle,"dot",EnumField,Great,false
excel,Excel.BorderLineStyle,"double",EnumField,Great,false
excel,Excel.BorderLineStyle,"none",EnumField,Great,false
excel,Excel.BorderLineStyle,"slantDashDot",EnumField,Great,false
excel,Excel.BorderWeight,N/A,Enum,Missing,false
excel,Excel.BorderWeight,"hairline",EnumField,Great,false
excel,Excel.BorderWeight,"medium",EnumField,Great,false
excel,Excel.BorderWeight,"thick",EnumField,Great,false
excel,Excel.BorderWeight,"thin",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,N/A,Enum,Fine,false
excel,Excel.BuiltInPivotTableStyle,"dark1",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark10",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark11",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark12",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark13",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark14",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark15",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark16",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark17",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark18",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark19",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark2",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark20",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark21",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark22",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark23",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark24",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark25",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark26",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark27",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark28",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark3",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark4",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark5",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark6",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark7",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark8",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"dark9",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light1",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light10",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light11",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light12",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light13",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light14",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light15",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light16",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light17",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light18",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light19",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light2",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light20",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light21",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light22",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light23",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light24",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light25",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light26",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light27",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light28",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light3",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light4",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light5",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light6",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light7",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light8",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"light9",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium1",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium10",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium11",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium12",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium13",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium14",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium15",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium16",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium17",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium18",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium19",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium2",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium20",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium21",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium22",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium23",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium24",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium25",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium26",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium27",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium28",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium3",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium4",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium5",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium6",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium7",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium8",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"medium9",EnumField,Great,false
excel,Excel.BuiltInPivotTableStyle,"none",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,N/A,Enum,Good,false
excel,Excel.BuiltInSlicerStyle,"dark1",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"dark2",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"dark3",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"dark4",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"dark5",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"dark6",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"light1",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"light2",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"light3",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"light4",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"light5",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"light6",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"other1",EnumField,Great,false
excel,Excel.BuiltInSlicerStyle,"other2",EnumField,Great,false
excel,Excel.BuiltInStyle,N/A,Enum,Missing,false
excel,Excel.BuiltInStyle,"accent1",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent1_20",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent1_40",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent1_60",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent2",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent2_20",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent2_40",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent2_60",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent3",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent3_20",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent3_40",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent3_60",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent4",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent4_20",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent4_40",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent4_60",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent5",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent5_20",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent5_40",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent5_60",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent6",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent6_20",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent6_40",EnumField,Great,false
excel,Excel.BuiltInStyle,"accent6_60",EnumField,Great,false
excel,Excel.BuiltInStyle,"bad",EnumField,Great,false
excel,Excel.BuiltInStyle,"calculation",EnumField,Great,false
excel,Excel.BuiltInStyle,"checkCell",EnumField,Great,false
excel,Excel.BuiltInStyle,"comma",EnumField,Great,false
excel,Excel.BuiltInStyle,"currency",EnumField,Great,false
excel,Excel.BuiltInStyle,"emphasis1",EnumField,Great,false
excel,Excel.BuiltInStyle,"emphasis2",EnumField,Great,false
